batch,instance,budget,method,timing_basis,solve_seconds,cloud_excluded_seconds,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,bp_lower_bound,bp_gap_percent,earliest_completion_lower_bound,workload_lower_bound,capacity_lower_bound,capacity_bound_seconds,capacity_bound_lp_calls,capacity_bound_lp_status,proof_source,heuristic_returned_columns,reference_gap_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,heuristic_provider,cim_requests,cim_completed,cim_timeouts,cim_size_skips,cim_seconds,cim_local_seconds,tuning_config_sha256,source_sha256,error
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,cim,bp_active_excluding_cloud_call,600.0429825000028,188.3029843999975,vehicle,2019-03-11_N16_C4_cim_s1.json,1,time_limit,1,67.0,62.0,8.064516129032258,62,7.462686567164179,53,61,62,0.01193720000446774,5,complete,,3,7.462686567164179,9.189949599996908,244.80632360000163,788.3459679000007,0.0308048000006238,0.021632900003169198,190.6669475999006,297.46212159981224,97.26487559971429,2126,62.0,9,0.07193449999613222,cim,1,1,0,0,195.97021150000364,7.66722710000613,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,cim,bp_active_excluding_cloud_call,600.041708299992,188.02667730000394,vehicle,2019-03-11_N16_C4_cim_s2.json,2,time_limit,1,65.0,62.0,4.838709677419355,62,4.615384615384615,53,61,62,0.011107099999208003,5,complete,,3,4.615384615384615,8.593428999993193,454.827804799992,788.0683866999971,0.03154369999538176,0.02161049999995157,190.27080210008717,285.8148075999634,106.2824099002246,2413,62.0,9,0.03517989999818383,cim,1,1,0,0,195.65696490000119,7.630287599997246,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After pricing construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.1783947999938,0.0,vehicle,2019-03-11_N16_C4_qaia_tuned_s2.json,2,time_limit,1,65.0,62.0,4.838709677419355,62,4.615384615384615,53,61,62,0.011606300002313219,5,complete,,14,4.615384615384615,2.1369981999960146,524.366036899999,600.1783961000037,0.07356609999987995,0.020407099997100886,182.99745500018616,290.79581090015563,107.22086060018773,2560,62.0,17,0.06293429999641376,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,compact,bp_active_excluding_cloud_call,0.18925360000139335,0.0,vehicle,2019-03-11_N20_C5_compact.json,0,optimal,1,62.0,62.0,0.0,,,,,,,,,,,0.0,0.029300599999260157,0.13250410000182455,0.18925519999902463,,,,,,,,,,,,,,,,,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,cim,bp_active_excluding_cloud_call,600.0094539999991,209.9651903999984,vehicle,2019-03-11_N20_C5_cim_s0.json,0,time_limit,1,69.0,62.0,11.290322580645162,62,10.144927536231885,54,60,62,0.01206580000143731,4,complete,,3,10.144927536231885,20.323440699998173,267.0505717999986,809.9746455000059,0.04492729999765288,0.04370339999877615,190.09374959988054,294.9900669999115,101.09774679986731,1427,62.0,9,0.12496360000659479,cim,1,1,0,0,228.1237839999958,18.158593599997403,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After pricing construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.0117152000021,0.0,vehicle,2019-03-11_N20_C5_qaia_tuned_s0.json,0,time_limit,1,68.0,62.0,9.67741935483871,62,8.823529411764707,54,60,62,0.014791099994909018,4,complete,,9,8.823529411764707,1.2213466000030166,403.2086333000043,600.011717100002,0.08948940000118455,0.08607689999917056,205.52955369996926,300.8143546999345,79.041774500045,1611,62.0,11,0.054993100005958695,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,Exact pricing reached TimeLimit; node is not certified
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,exact,bp_active_excluding_cloud_call,600.0077117000037,0.0,vehicle,2019-03-11_N20_C5_exact_r0.json,0,time_limit,1,68.0,62.0,9.67741935483871,62,8.823529411764707,54,60,62,0.012406099995132536,4,complete,,,8.823529411764707,2.330648700000893,496.02175470000657,600.0077132000006,0.04621269999915967,0.0471968999991077,199.0076740999939,297.9614710999158,87.95938700041734,1591,62.0,9,0.11316220000298927,,,,,,,,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.0169915000006,0.0,vehicle,2019-03-11_N20_C5_qaia_tuned_s1.json,1,time_limit,1,68.0,62.0,9.67741935483871,62,8.823529411764707,54,60,62,0.012640900000405964,4,complete,,9,8.823529411764707,1.1622881999937817,401.5920771999954,600.0169926000017,0.08314840000093682,0.0821395000020857,206.47001449997333,299.93357820014353,78.96566470004473,1619,62.0,11,0.055388199994922616,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After pricing construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,cim,bp_active_excluding_cloud_call,600.0950374000022,208.93317309999838,vehicle,2019-03-11_N20_C5_cim_s1.json,1,time_limit,1,68.0,62.0,9.67741935483871,62,8.823529411764707,54,60,62,0.01373040000180481,4,complete,,3,8.823529411764707,21.32834610000282,541.7201020000066,809.0282116000017,0.045211500000732485,0.044452199996158015,183.8982463997454,307.01165439988836,97.09781779988407,1246,62.0,8,0.12982370000099763,cim,1,1,0,0,228.31491120000283,19.38173810000444,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After pricing construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,cim,bp_active_excluding_cloud_call,600.0427415000013,270.0521174999958,vehicle,2019-03-11_N20_C5_cim_s2.json,2,time_limit,1,66.0,62.0,6.451612903225806,62,6.0606060606060606,54,60,62,0.012662900000577793,4,complete,,3,6.0606060606060606,23.671741400001338,521.5595249000035,870.094860199999,0.046403700005612336,0.044665399997029454,190.3250571002427,297.4776230000134,98.50573430029908,1494,62.0,9,0.06918360000418033,cim,1,1,0,0,291.46066370000335,21.40854620000755,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
