batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source,timing_basis,wall_seconds,cloud_excluded_seconds
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,2.8945326000030036,75.0,rmp_integer,bp_active_excluding_cloud_call,247.0843784999961,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,3.378720599997905,72.0,restricted_mip,bp_active_excluding_cloud_call,247.56856649999827,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,28.767531400000735,71.0,rmp_integer,bp_active_excluding_cloud_call,272.95737740000186,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,32.43071439999767,70.0,rmp_integer,bp_active_excluding_cloud_call,276.62056049999956,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,34.08177710000018,68.0,rmp_integer,bp_active_excluding_cloud_call,278.2716228999998,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,34.90530179999769,67.0,rmp_integer,bp_active_excluding_cloud_call,279.0951477999988,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,107.49900109999726,66.0,rmp_integer,bp_active_excluding_cloud_call,351.6888470999984,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,108.09457269999984,65.0,rmp_integer,bp_active_excluding_cloud_call,352.2844186000002,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s0.json,0,140.83248959999764,64.0,rmp_integer,bp_active_excluding_cloud_call,385.022335499998,244.1898438999997
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s0.json,0,0.48985150000225985,69.0,rmp_integer,bp_active_excluding_cloud_call,0.4898536000036984,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s0.json,0,10.613945999997668,67.0,rmp_integer,bp_active_excluding_cloud_call,10.61394840000139,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s0.json,0,75.94313060000422,65.0,rmp_integer,bp_active_excluding_cloud_call,75.94313269999839,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s0.json,0,105.1255364000026,64.0,rmp_integer,bp_active_excluding_cloud_call,105.12553859999753,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,0.5209247000020696,75.0,restricted_mip,bp_active_excluding_cloud_call,0.5209266000019852,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,6.751858399999037,74.0,rmp_integer,bp_active_excluding_cloud_call,6.7518602999989525,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,8.513309499998286,68.0,rmp_integer,bp_active_excluding_cloud_call,8.51331129999744,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,31.935467499999504,64.0,rmp_integer,bp_active_excluding_cloud_call,31.93546950000018,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,91.50143260000186,63.0,rmp_integer,bp_active_excluding_cloud_call,91.5014347000033,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,168.10895320000418,62.0,rmp_integer,bp_active_excluding_cloud_call,168.10895519999758,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,exact,2019-03-11_N12_C3_exact_r0.json,0,361.7321426999988,61.0,rmp_integer,bp_active_excluding_cloud_call,361.73214480000024,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,0.7382218999991892,76.0,restricted_mip,bp_active_excluding_cloud_call,0.7382240000006277,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,9.48314609999943,75.0,rmp_integer,bp_active_excluding_cloud_call,9.483148100000108,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,13.851111299998593,69.0,rmp_integer,bp_active_excluding_cloud_call,13.851113400000031,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,44.326847499993164,65.0,rmp_integer,bp_active_excluding_cloud_call,44.32684960000188,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,132.05120879999595,64.0,rmp_integer,bp_active_excluding_cloud_call,132.0512108000039,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s1.json,1,148.73323609999352,63.0,rmp_integer,bp_active_excluding_cloud_call,148.733238300003,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,2.814642899989849,74.0,rmp_integer,bp_active_excluding_cloud_call,247.39593359999708,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,3.2285527999920305,72.0,restricted_mip,bp_active_excluding_cloud_call,247.80984319999698,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,19.484971599995333,71.0,rmp_integer,bp_active_excluding_cloud_call,264.06626239999605,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,29.857765699991432,70.0,rmp_integer,bp_active_excluding_cloud_call,274.4390562999979,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,30.14017019999301,67.0,rmp_integer,bp_active_excluding_cloud_call,274.7214606999987,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,64.24246049999056,64.0,rmp_integer,bp_active_excluding_cloud_call,308.8237516999943,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,134.98427449999144,63.0,rmp_integer,bp_active_excluding_cloud_call,379.5655650999979,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s1.json,1,245.21578309999313,62.0,rmp_integer,bp_active_excluding_cloud_call,489.7970736999996,244.58128850000503
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,3.0901151999933063,75.0,rmp_integer,bp_active_excluding_cloud_call,186.93456870000227,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,3.57219189999887,72.0,restricted_mip,bp_active_excluding_cloud_call,187.41664520000631,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,28.99947269999393,71.0,rmp_integer,bp_active_excluding_cloud_call,212.84392610000214,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,32.66842949999409,70.0,rmp_integer,bp_active_excluding_cloud_call,216.5128829000023,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,34.31498489999649,68.0,rmp_integer,bp_active_excluding_cloud_call,218.15943820000393,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,35.14021619999403,67.0,rmp_integer,bp_active_excluding_cloud_call,218.98466960000223,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,107.67558329999883,66.0,rmp_integer,bp_active_excluding_cloud_call,291.5200368000005,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,108.25979819999338,65.0,rmp_integer,bp_active_excluding_cloud_call,292.1042515000008,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,cim,2019-03-11_N12_C3_cim_s2.json,2,140.96042169999419,64.0,rmp_integer,bp_active_excluding_cloud_call,324.80487500000163,183.8444512999995
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s2.json,2,0.762353099999018,75.0,restricted_mip,bp_active_excluding_cloud_call,0.7623550999996951,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s2.json,2,21.156895899999654,70.0,rmp_integer,bp_active_excluding_cloud_call,21.156897699998808,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s2.json,2,31.873968899999454,67.0,rmp_integer,bp_active_excluding_cloud_call,31.873970599997847,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s2.json,2,31.928519500004768,64.0,rmp_integer,bp_active_excluding_cloud_call,31.92852120000316,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,qaia_tuned,2019-03-11_N12_C3_qaia_tuned_s2.json,2,581.6148950999996,62.0,rmp_integer,bp_active_excluding_cloud_call,581.6148968999987,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,compact,2019-03-11_N16_C4_compact.json,0,0.020262899997760542,71.0,compact_mipsol,bp_active_excluding_cloud_call,0.020264999999199063,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,compact,2019-03-11_N16_C4_compact.json,0,0.08092809999652673,66.0,compact_mipsol,bp_active_excluding_cloud_call,0.08093010000447975,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,compact,2019-03-11_N16_C4_compact.json,0,0.08448229999339674,64.0,compact_mipsol,bp_active_excluding_cloud_call,0.08448430000134977,0.0
