batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_50_4,2,2,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_200_10,0,0,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_200_10,1,1,60.0,45.0,15.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_200_10,2,2,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_4,0,0,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_4,1,1,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_4,2,2,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_10,0,0,46.0,45.0,1.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_10,1,1,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_10,2,2,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_50_4,0,0,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_50_4,1,1,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_50_4,2,2,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_200_10,0,0,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_200_10,1,1,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_200_10,2,2,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_4,0,0,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_4,1,1,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_4,2,2,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_10,0,0,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_10,1,1,47.0,45.0,2.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_10,2,2,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,qaia_50_4,0,0,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,qaia_50_4,1,1,45.0,45.0,0.0,tie
