batch,instance,budget,method,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,source_sha256,error
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_50_4,vertex,2019-03-05_N12_C3_qaia_50_4_s2.json,2,optimal,1,67.0,67.0,0.0,0.8423657000003004,1.8194917000000714,1.856064399999923,0.07784259999971255,0.032810300000164716,0.4002227999999377,0.0,1.1939569000005577,1,19.246753246753247,20,0.040214300000116054,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_200_10,vertex,2019-03-05_N12_C3_qaia_200_10_s2.json,2,optimal,1,67.0,67.0,0.0,2.6285987000001114,2.6285987000001114,2.65937490000033,0.11073699999997189,0.026451699999597622,0.40525260000049457,0.0,1.9957431999991968,1,19.246753246753247,19,0.030042800000046554,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_4,vertex,2019-03-05_N12_C3_greedy_4_s2.json,2,optimal,1,67.0,67.0,0.0,0.5176259999998365,0.5227656000006391,0.5297036000001754,0.018788800000038464,0.011628300000666059,0.094250799999827,0.0,0.3665681999982553,1,19.246753246753247,17,0.011928400000215333,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_10,vertex,2019-03-05_N12_C3_greedy_10_s2.json,2,time_limit,1,68.0,67.0,1.492537313432836,0.21315749999939726,59.50411470000017,60.153939799999534,0.018155300000216812,0.010726399999839487,26.738380699996924,26.358914299998105,5.678815399995074,87,19.246753246753247,13,0.011906400000043504,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vertex,2019-03-05_N12_C3,60.0,exact,vertex,2019-03-05_N12_C3_exact_r2.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.22955840000031458,0.39674680000007356,60.11751389999972,0.02003549999972165,0.011913000000276952,25.169448199993894,28.178014899998743,5.141555400012294,168,19.246753246753247,13,0.020553600000312144,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,compact,vehicle,2019-03-05_N8_C2_compact.json,0,optimal,1,44.0,44.0,0.0,0.011034499999368563,0.02746690000003582,0.034413699999277014,,,,,,,,,,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_50_4,vehicle,2019-03-05_N8_C2_qaia_50_4_s0.json,0,time_limit,1,44.0,44.0,0.0,0.5362021999999342,42.83207879999918,60.013703099999475,0.025913299999956507,0.10513429999991786,23.458552600000075,20.844353200003752,11.907750899988969,125,41.0,19,0.04347269999925629,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,列生成在精确定价完成之前达到时间限制
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_200_10,vehicle,2019-03-05_N8_C2_qaia_200_10_s0.json,0,time_limit,1,45.0,44.0,2.272727272727273,0.589140099999895,25.37643779999962,60.146836599999915,0.01660589999937656,0.09166589999949792,22.469814999993105,21.545410199998514,12.395706700004666,123,40.99999999999999,17,0.0231420000000071,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_4,vehicle,2019-03-05_N8_C2_greedy_4_s0.json,0,time_limit,1,44.0,44.0,0.0,0.11904779999986204,29.43560720000005,60.005599600000096,0.007308199999897624,0.014478500000222994,23.41795969999839,21.39483200000177,11.414839699995355,149,41.0,13,0.010317899999790825,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_10,vehicle,2019-03-05_N8_C2_greedy_10_s0.json,0,time_limit,1,45.0,44.0,2.272727272727273,0.34934789999988425,1.9841302000004362,60.12985730000037,0.007442899999659858,0.014690699999846402,22.91241230000196,20.7373520000001,12.539118999991842,144,41.0,15,0.027608000000327593,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,exact,vehicle,2019-03-05_N8_C2_exact_r0.json,0,time_limit,1,45.0,44.0,2.272727272727273,0.139220000000023,0.2956737000004068,60.00335130000076,0.008495500000208267,0.016860100000485545,21.49144090000209,20.263067599998067,13.885943699993732,140,41.0,16,0.010643900000104622,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing reached TimeLimit; node is not certified
model_v3_vehicle,2019-03-05_N8_C2,60.0,exact,vehicle,2019-03-05_N8_C2_exact_r1.json,0,time_limit,1,45.0,44.0,2.272727272727273,0.12269620000006398,0.27976240000134567,60.006392100000085,0.008355900001333794,0.016968699999779346,22.1010167000004,19.31082150000111,14.164605099987966,141,41.0,16,0.010502099999939674,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing reached TimeLimit; node is not certified
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_10,vehicle,2019-03-05_N8_C2_greedy_10_s1.json,1,time_limit,1,45.0,44.0,2.272727272727273,0.33461849999912374,45.347288599999956,60.07281619999958,0.007273200000781799,0.014535600001181592,22.612870199996905,21.293772300001365,12.301360500006922,151,41.0,15,0.020222400000420748,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_4,vehicle,2019-03-05_N8_C2_greedy_4_s1.json,1,time_limit,1,44.0,44.0,0.0,0.1292685000007623,54.54046680000101,60.14196360000096,0.007186900000306196,0.017763300000297022,23.238245400003507,22.02255359999799,11.315268000025753,146,41.0,13,0.017138100000011036,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_200_10,vehicle,2019-03-05_N8_C2_qaia_200_10_s1.json,1,time_limit,1,47.0,44.0,6.818181818181818,0.5688988999991125,1.4487049999988812,60.100634599999466,0.024788099999568658,0.10164660000009462,21.35380070001156,21.29801199999929,13.391134300009071,118,41.0,14,0.04037389999939478,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
