batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,1.324078499999814,46.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,9.633850499999426,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,42.83207879999918,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,0.589140099999895,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,1.6682873999998264,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,25.37643779999962,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s0.json,0,0.11904779999986204,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s0.json,0,0.9891228999995292,47.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s0.json,0,24.15811719999965,46.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s0.json,0,29.43560720000005,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.34934789999988425,55.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.3543478999999934,46.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,1.9841302000004362,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r0.json,0,0.139220000000023,47.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r0.json,0,0.2956737000004068,45.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r1.json,0,0.12269620000006398,47.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r1.json,0,0.27976240000134567,45.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.33461849999912374,56.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.3470925999990868,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,45.347288599999956,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s1.json,1,0.1292685000007623,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s1.json,1,23.881672499999695,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s1.json,1,54.54046680000101,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s1.json,1,0.5688988999991125,60.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s1.json,1,1.4357055999989825,48.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s1.json,1,1.4487049999988812,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,0.47704460000022664,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,1.1774305999988428,48.0,restricted_mip
