batch,instance,budget,method,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,restricted_mip_seconds,source_sha256,error
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r1.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.2324561000000358,0.39827740000009726,60.010016899999755,0.019711399999778223,0.010791400000016438,27.16775879999841,25.926545199999964,5.47340529999974,0.020877699999800825,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After branch construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s1.json,1,optimal,1,67.0,67.0,0.0,0.21391610000000583,0.21391610000000583,0.4318723000001228,0.027424700000210578,0.020859700000073644,0.10181499999998778,0.0,0.2369923999999628,0.011742000000140251,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,optimal,1,67.0,67.0,0.0,0.23813519999976052,19.68784340000002,19.773400000000038,0.0183219000000463,0.011568500000066706,8.182422599998972,9.099761400000261,2.006346899998789,0.01171440000007351,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,optimal,1,67.0,67.0,0.0,2.5092082999999548,2.5281181999998807,2.542630299999928,0.10638479999988704,0.024111199999879318,0.40067969999972775,0.0,1.9075832999983504,0.03584319999981744,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,optimal,1,67.0,67.0,0.0,0.8970696999999745,1.7565474999996695,1.7849827000000005,0.1162426000000778,0.026152899999942747,0.3700810000000274,0.0,1.1327187000019876,0.03454729999975825,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,optimal,1,67.0,67.0,0.0,0.8485587000000123,1.6862424000000829,1.7198561999998674,0.07272480000028736,0.024164100000234612,0.39321650000010777,0.0,1.0899583000004895,0.034733500000129425,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s2.json,2,optimal,1,67.0,67.0,0.0,2.5916935000000194,2.5916935000000194,2.6157650000000103,0.10890329999983805,0.030309499999930267,0.3535460000002786,0.0,2.014455399999406,0.02563769999960641,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,optimal,1,67.0,67.0,0.0,0.5112920000001395,0.523305100000016,0.5304307999999764,0.01761769999984608,0.010728199999903154,0.09334140000009938,0.0,0.36571630000025834,0.018999999999778083,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,time_limit,1,68.0,67.0,1.492537313432836,0.22150039999996807,57.96901700000035,60.0070283,0.02246100000002116,0.011095300000306452,26.538366600003883,26.593193400002292,5.5114267000021755,0.010401700000329583,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After master construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r2.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.22055409999984477,0.38466650000009395,60.1620697999997,0.018927899999653164,0.011038699999971868,27.44268220000049,25.88093530000151,5.367975299999216,0.019528900000295835,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After pricing construction: global time budget exhausted
