batch,instance,budget,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,30.0,qaia_50_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,30.0,qaia_200_10,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,30.0,greedy_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,30.0,greedy_10,3,3,1.0,68.0,68.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,30.0,exact,3,3,1.0,71.0,71.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,compact,1,1,1.0,65.0,65.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,qaia_50_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,qaia_200_10,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,greedy_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,greedy_10,3,3,1.0,68.0,68.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,60.0,exact,3,3,1.0,71.0,71.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,compact,1,1,1.0,65.0,65.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,qaia_50_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,qaia_200_10,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,greedy_4,3,3,1.0,66.0,66.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,greedy_10,3,3,1.0,68.0,68.0,65.0
acn_scale_v4_grid,2019-03-06_N24_C6,120.0,vehicle,120.0,exact,3,3,1.0,71.0,71.0,65.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,compact,1,1,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,qaia_50_4,3,0,0.0,,,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,qaia_200_10,3,0,0.0,,,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,greedy_4,3,1,0.3333333333333333,,72.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,greedy_10,3,1,0.3333333333333333,,72.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,1.0,exact,3,0,0.0,,,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,compact,1,1,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,qaia_50_4,3,3,1.0,68.0,68.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,qaia_200_10,3,3,1.0,68.0,68.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,greedy_4,3,3,1.0,63.0,63.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,greedy_10,3,3,1.0,65.0,65.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,10.0,exact,3,3,1.0,65.0,65.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,compact,1,1,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,qaia_50_4,3,3,1.0,59.0,59.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,qaia_200_10,3,3,1.0,63.0,63.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,greedy_4,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,greedy_10,3,3,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,30.0,exact,3,3,1.0,59.0,59.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,compact,1,1,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,qaia_50_4,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,qaia_200_10,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,greedy_4,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,greedy_10,3,3,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,60.0,exact,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,compact,1,1,1.0,57.0,57.0,57.0
