batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_4,1,1,64.0,64.0,0.0,tie
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_4,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_10,0,0,61.0,64.0,-3.0,method
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_10,1,1,63.0,64.0,-1.0,method
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_10,2,2,61.0,62.0,-1.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_50_4,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_50_4,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_50_4,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_200_10,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_200_10,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,qaia_200_10,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_4,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_4,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_4,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_10,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_10,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,1.0,greedy_10,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_50_4,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_50_4,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_50_4,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_200_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_200_10,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,qaia_200_10,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_4,0,0,82.0,81.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_4,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_4,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_10,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,10.0,greedy_10,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_50_4,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_50_4,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_50_4,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_200_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_200_10,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,qaia_200_10,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_4,0,0,82.0,81.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_4,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_4,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_10,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,30.0,greedy_10,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_50_4,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_50_4,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_50_4,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_200_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_200_10,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,qaia_200_10,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_4,0,0,82.0,81.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_4,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_4,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_10,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,60.0,greedy_10,2,2,70.0,81.0,-11.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_50_4,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_50_4,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_50_4,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_200_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_200_10,1,1,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,qaia_200_10,2,2,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_4,0,0,82.0,81.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_4,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_4,2,2,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_10,0,0,71.0,81.0,-10.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_10,1,1,76.0,81.0,-5.0,method
acn_scale_v4_grid,2019-03-04_N24_C6,120.0,vehicle,120.0,greedy_10,2,2,70.0,81.0,-11.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_50_4,0,0,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_50_4,1,1,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_50_4,2,2,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_200_10,0,0,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_200_10,1,1,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,qaia_200_10,2,2,,66.0,,exact_only
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_4,0,0,67.0,66.0,1.0,exact
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_4,1,1,58.0,66.0,-8.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_4,2,2,59.0,66.0,-7.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_10,0,0,62.0,66.0,-4.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_10,1,1,58.0,66.0,-8.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,1.0,greedy_10,2,2,59.0,66.0,-7.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_50_4,0,0,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_50_4,1,1,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_50_4,2,2,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_200_10,0,0,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_200_10,1,1,57.0,66.0,-9.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,qaia_200_10,2,2,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_4,0,0,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_4,1,1,58.0,66.0,-8.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_4,2,2,59.0,66.0,-7.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_10,0,0,57.0,66.0,-9.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_10,1,1,58.0,66.0,-8.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,10.0,greedy_10,2,2,59.0,66.0,-7.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_50_4,0,0,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_50_4,1,1,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_50_4,2,2,61.0,66.0,-5.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_200_10,0,0,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_200_10,1,1,57.0,66.0,-9.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,qaia_200_10,2,2,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,greedy_4,0,0,56.0,66.0,-10.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,greedy_4,1,1,58.0,66.0,-8.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,greedy_4,2,2,59.0,66.0,-7.0,method
acn_scale_v4_grid,2019-03-06_N16_C4,120.0,vehicle,30.0,greedy_10,0,0,57.0,66.0,-9.0,method
